VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number
2C3CDZL95PH101836,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black / Demonic Red,170 Laguna Leather Seats,"$133,731 ",4900
2C3CDZL97PH101837,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black / Demonic Red,170 Laguna Leather Seats,"$131,341 ",4901
2C3CDZL99PH101838,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$131,341 ",4902
2C3CDZL90PH101839,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black,170 Alcantara Leather Seats,"$132,736 ",4903
2C3CDZL97PH101840,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black,170 Alcantara Leather Seats,"$133,036 ",4904
2C3CDZL99PH101841,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black / Demonic Red,170 Laguna Leather Seats,"$122,741 ",4905
2C3CDZL90PH101842,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black,170 Alcantara Leather Seats,"$135,036 ",4906
2C3CDZL92PH101843,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black / Demonic Red,170 Laguna Leather Seats,"$119,046 ",4907
2C3CDZL94PH101844,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black,170 Alcantara Leather Seats,"$122,441 ",4908
2C3CDZL96PH101845,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black,170 Alcantara Leather Seats,"$135,036 ",4909
2C3CDZL98PH101846,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black,170 Alcantara Leather Seats,"$124,441 ",4910
2C3CDZL9XPH101847,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black,170 Alcantara Leather Seats,"$133,731 ",4911
2C3CDZL91PH101848,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black / Demonic Red,170 Laguna Leather Seats,"$121,746 ",4912
2C3CDZL93PH101849,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sinamon Stick,Black,170 Alcantara Leather Seats,"$122,346 ",4913
2C3CDZL9XPH101850,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black,170 Alcantara Leather Seats,"$122,346 ",4914
2C3CDZL91PH101851,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sinamon Stick,Black,170 Alcantara Leather Seats,"$121,741 ",4915
2C3CDZL93PH101852,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black,170 Alcantara Leather Seats,"$119,346 ",4916
2C3CDZL95PH101853,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Granite,Black,170 Cloth Seats,"$114,056 ",4917
2C3CDZL97PH101854,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$125,136 ",4918
2C3CDZL99PH101855,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black,170 Alcantara Leather Seats,"$135,036 ",4919
2C3CDZL90PH101856,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black,170 Alcantara Leather Seats,"$134,736 ",4920
2C3CDZL92PH101857,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Granite,Black,170 Alcantara Leather Seats,"$124,741 ",4921
2C3CDZL94PH101858,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black,170 Alcantara Leather Seats,"$123,436 ",4922
2C3CDZL96PH101859,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Granite,Black,170 Alcantara Leather Seats,"$122,046 ",4923
2C3CDZL92PH101860,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black,170 Alcantara Leather Seats,"$124,046 ",4924
2C3CDZL94PH101861,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black,170 Alcantara Leather Seats,"$125,041 ",4925
2C3CDZL96PH101862,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black,170 Alcantara Leather Seats,"$121,441 ",4926
2C3CDZL98PH101863,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$135,131 ",4927
2C3CDZL9XPH101864,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,170 Alcantara Leather Seats,"$132,941 ",4928
2C3CDZL91PH101865,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black,170 Alcantara Leather Seats,"$123,341 ",4929
2C3CDZL93PH101866,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black,170 Alcantara Leather Seats,"$135,131 ",4930
2C3CDZL95PH101867,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$131,341 ",4931
2C3CDZL97PH101868,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$135,036 ",4932
2C3CDZL99PH101869,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black,170 Alcantara Leather Seats,"$125,041 ",4933
