VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number,URL
2C3CDZL91PH103180,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$157,465",6244,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH103180
2C3CDZL91PH501540,2023,CHALLENGER,SRT REDEYE WIDEBODY JAILBREAK,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black / Sepia,Laguna Leather Seat with SRT Hellcat Logo,"$105,700",8532,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH501540
2C3CDZL93PH103181,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$169,465",6245,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH103181
2C3CDZL95PH103182,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black,170 Alcantara Leather Seats,"$119,956",6246,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH103182
2C3CDZL97PH103183,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$160,070",6247,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH103183
2C3CDZL99PH103184,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$169,070",6248,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH103184
2C3CDZL90PH103185,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$160,465",6249,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH103185
2C3CDZL92PH103186,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$145,665",6250,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH103186
2C3CDZL92PH501546,2023,CHALLENGER,SRT REDEYE WIDEBODY JAILBREAK,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black / Hammerhead-Gray,Laguna Leather Seat with SRT Hellcat Logo,"$102,625",8573,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH501546
2C3CDZL94PH103187,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$166,260",6251,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH103187
